,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
32,33,Zane Gonzalez (CAR),9,14,64.3,55,0,1,4,2,2,8,11,7,41.0,5.9,15.1%
33,34,Caleb Sturgis (FA),9,13,69.2,49,0,4,2,3,0,9,15,6,39.0,6.5,0.0%
34,35,Matt McCrane (FA),8,12,66.7,47,0,3,2,3,0,9,9,5,36.0,7.2,0.0%
35,36,Phil Dawson (FA),5,8,62.5,43,0,2,2,1,0,15,15,10,31.0,3.1,0.1%
36,37,Giorgio Tavecchio (TEN),5,5,100.0,56,0,1,0,2,2,8,8,3,29.0,9.7,1.0%
37,38,Mike Nugent (FA),6,6,100.0,52,0,3,0,2,1,4,5,3,26.0,8.7,1.0%
38,39,Kai Forbath (LAR),4,5,80.0,41,0,2,1,1,0,3,3,3,16.0,5.3,3.0%
39,40,Sam Ficken (TEN),1,3,33.3,34,0,0,1,0,0,10,10,2,13.0,6.5,0.1%
40,41,Tristan Vizcaino (LAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0%
41,42,Austin Seibert (DET),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%
42,43,Matthew Wright (JAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%
43,44,Matt Gay (LAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,55.5%
44,45,Andrew Wellock (CAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
45,46,Jonathan Brown (JAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
46,47,Carlos Martinez (DAL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
47,48,Joey Slye (WAS),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.1%
48,49,Younghoe Koo (ATL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,54.4%
49,50,Chase McLaughlin (CLE),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,23.9%
50,51,Evan McPherson (CIN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.1%
51,52,Blake Haubeil (TEN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
52,53,Riley Patterson (DET),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
53,54,Alex Kessman (LAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
54,55,Jose Borregales (TB),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
55,56,Quinn Nordin (NE),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
56,57,Chris Naggar (CLE),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
57,58,Lirim Hajrullahu (DAL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8%
58,59,Rodrigo Blankenship (IND),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.6%
59,60,Jake Verity (BAL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
60,61,Tyler Bass (BUF),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,93.6%
61,62,JJ Molson (GB),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
62,63,Sam Sloman (PIT),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
63,64,Matt Ammendola (NYJ),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%
64,65,Austin MacGinnis (LAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
65,66,Brandon Wright (LAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
66,67,Ty Long (LAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7%
67,68,Zac Derr (ATL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
68,69,Ricky Schmit (SF),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
69,70,Steven Weatherford (NYJ),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
70,71,MacKenzie Hoambrecker (SF),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
71,72,Mark Hickok (NYG),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
72,73,Nick Folk (NE),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,77.6%
73,74,Parker Douglass (NYJ),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
74,75,Piotr Czech (PIT),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
75,76,Garrett Rivas (TB),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
76,77,Andrew Jacas (SF),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
77,78,Sergio Castillo (NYJ),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
78,79,Michael Palardy (MIA),0,0,0.0,0,0,0,0,0,0,0,0,16,0.0,0.0,33.3%
79,80,Clint Stitser (WAS),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
80,81,Garrett Lindholm (ATL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
81,82,Connor Hughes (DAL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
82,83,Saverio Rocca (WAS),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
83,84,Jason Reda (CLE),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
