,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1,Nick Folk (NE),22,24,91.7,52,0,6,7,6,3,25,28,10,103.0,10.3,77.6%
1,2,Tyler Bass (BUF),19,20,95.0,57,0,10,4,3,2,29,29,9,93.0,10.3,93.6%
2,3,Matt Gay (LAR),18,19,94.7,54,0,5,7,4,2,29,30,10,91.0,9.1,55.5%
3,4,Greg Joseph (MIN),19,23,82.6,55,0,4,6,4,5,20,21,9,91.0,10.1,63.5%
4,5,Randy Bullock (TEN),18,20,90.0,51,0,2,10,5,1,27,28,9,88.0,9.8,58.8%
5,6,Zane Gonzalez (CAR),19,21,90.5,57,0,6,1,9,3,15,16,9,87.0,9.7,15.1%
6,7,Chris Boswell (PIT),18,19,94.7,56,0,6,2,4,6,15,16,9,85.0,9.4,56.3%
7,8,Matt Prater (ARI),14,17,82.4,62,0,5,5,1,3,35,35,10,84.0,8.4,71.9%
8,9,Justin Tucker (BAL),17,19,89.5,66,0,2,5,7,3,20,20,9,84.0,9.3,97.6%
9,10,Graham Gano (NYG),19,21,90.5,55,0,5,5,4,5,12,12,9,83.0,9.2,34.3%
10,11,Brandon McManus (DEN),18,21,85.7,53,0,6,5,6,1,18,19,10,80.0,8.0,31.2%
11,12,Harrison Butker (KC),13,15,86.7,55,0,2,5,3,3,31,31,10,79.0,7.9,95.1%
12,13,Daniel Carlson (LV),17,20,85.0,55,0,4,7,3,3,19,21,9,79.0,8.8,66.0%
13,14,Dustin Hopkins (LAC),17,19,89.5,50,0,5,3,8,1,16,19,9,77.0,8.6,9.8%
14,15,Jake Elliott (PHI),14,16,87.5,58,0,5,3,4,2,25,25,10,75.0,7.5,4.5%
15,16,Mason Crosby (GB),14,21,66.7,54,0,5,4,3,2,24,25,10,73.0,7.3,39.1%
16,17,Chase McLaughlin (CLE),13,15,86.7,57,0,3,4,2,4,24,24,10,73.0,7.3,23.9%
17,18,Evan McPherson (CIN),11,14,78.6,53,0,2,4,2,3,27,27,9,68.0,7.6,7.1%
18,19,Greg Zuerlein (DAL),14,18,77.8,56,0,1,9,3,1,21,23,8,68.0,8.5,42.0%
19,20,Younghoe Koo (ATL),15,16,93.8,53,0,4,7,2,2,17,17,9,68.0,7.6,54.4%
20,21,Ryan Succop (TB),10,13,76.9,48,0,5,2,3,0,33,35,9,66.0,7.3,51.2%
21,22,Joey Slye (WAS),14,16,87.5,56,0,5,2,4,3,11,14,7,63.0,9.0,2.1%
22,23,Jason Sanders (MIA),12,16,75.0,51,0,4,3,3,2,17,17,10,60.0,6.0,33.5%
23,24,Cairo Santos (CHI),13,14,92.9,47,0,6,3,4,0,15,16,9,58.0,6.4,2.2%
24,25,Jason Myers (SEA),7,11,63.6,53,0,0,3,2,2,22,23,9,49.0,5.4,22.9%
25,26,Rodrigo Blankenship (IND),11,14,78.6,48,0,3,3,5,0,7,8,5,45.0,9.0,5.6%
26,27,Michael Badgley (IND),7,8,87.5,42,0,2,3,2,0,20,21,6,43.0,7.2,19.7%
27,28,Matt Ammendola (NYJ),10,13,76.9,49,0,5,3,2,0,11,12,9,43.0,4.8,0.3%
28,29,Austin Seibert (DET),10,12,83.3,52,0,0,4,5,1,5,5,6,42.0,7.0,0.2%
29,30,Robbie Gould (SF),5,6,83.3,52,0,1,0,2,2,17,17,5,38.0,7.6,11.3%
30,31,Matthew Wright (JAC),7,10,70.0,56,0,1,1,1,4,7,9,6,37.0,6.2,0.2%
31,32,Brian Johnson (FA),8,8,100.0,52,0,4,3,0,1,5,8,5,31.0,6.2,1.0%
32,33,Tristan Vizcaino (LAC),6,7,85.7,46,0,3,2,1,0,10,15,6,29.0,4.8,1.0%
33,34,Ka'imi Fairbairn (HOU),6,8,75.0,53,0,1,3,1,1,3,5,6,24.0,4.0,0.4%
34,35,Ryan Santoso (FA),4,5,80.0,35,0,3,1,0,0,6,8,4,18.0,4.5,0.1%
35,36,Aldrick Rosas (DET),1,4,25.0,44,0,0,0,1,0,13,13,4,17.0,4.3,1.8%
36,37,Chris Blewitt (FA),2,5,40.0,52,0,0,0,1,1,2,2,2,11.0,5.5,0.1%
37,38,Lirim Hajrullahu (DAL),0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,0.8%
38,39,Josh Lambo (FA),0,3,0.0,0,0,0,0,0,0,5,7,3,5.0,1.7,3.5%
39,40,Cody Parkey (FA),0,0,0.0,0,0,0,0,0,0,3,5,1,3.0,3.0,0.4%
40,41,Wil Lutz (NO),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.8%
41,42,Blake Haubeil (TEN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
42,43,Sam Ficken (TEN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
43,44,Alex Kessman (LAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
44,45,Riley Patterson (DET),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
45,46,Jose Borregales (TB),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
46,47,Jonathan Brown (JAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
47,48,Quinn Nordin (NE),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
48,49,Michael Palardy (MIA),0,0,0.0,0,0,0,0,0,0,0,0,10,0.0,0.0,33.3%
49,50,Ty Long (LAC),0,0,0.0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.7%
50,51,Chris Naggar (CLE),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
51,52,Brandon Wright (LAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
52,53,Austin MacGinnis (LAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
53,54,Sergio Castillo (NYJ),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
54,55,Elliott Fry (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
55,56,Cameron Nizialek (FA),0,0,0.0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
56,57,Jake Verity (BAL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
57,58,JJ Molson (GB),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
58,59,Sam Sloman (PIT),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
59,60,Parker Douglass (NYJ),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
60,61,Piotr Czech (PIT),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
61,62,Steven Weatherford (NYJ),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
62,63,Zac Derr (ATL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
63,64,Ricky Schmit (SF),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
64,65,Andrew Wellock (CAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
65,66,Carlos Martinez (DAL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
66,67,Garrett Rivas (TB),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
67,68,Jason Reda (CLE),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
68,69,MacKenzie Hoambrecker (SF),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
69,70,Mark Hickok (NYG),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
70,71,Saverio Rocca (WAS),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
71,72,Giorgio Tavecchio (TEN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0%
72,73,Brett Maher (NO),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
73,74,Andrew Jacas (SF),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
74,75,Kai Forbath (LAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0%
75,76,Garrett Lindholm (ATL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
76,77,Connor Hughes (DAL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
77,78,Clint Stitser (WAS),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
