,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
50,51,Lirim Hajrullahu (DAL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8%
51,52,Austin MacGinnis (LAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
52,53,Brandon Wright (LAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
53,54,Chris Boswell (PIT),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,56.3%
54,55,Sergio Castillo (NYJ),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
55,56,Shaun Suisham (FA),30,32,93.8,48,0,9,13,8,0,39,39,16,0.0,0.0,0.0%
56,57,Parker Douglass (NYJ),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
57,58,Phil Dawson (FA),32,36,88.9,56,0,12,6,10,4,44,44,16,0.0,0.0,0.1%
58,59,Piotr Czech (PIT),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
59,60,Rian Lindell (FA),23,29,79.3,54,0,3,12,4,4,31,31,16,0.0,0.0,0.0%
60,61,Rob Bironas (FA),25,29,86.2,55,0,10,8,5,2,41,41,16,0.0,0.0,0.0%
61,62,Sebastian Janikowski (FA),21,30,70.0,53,0,6,4,8,3,37,37,16,0.0,0.0,20.0%
62,63,Shayne Graham (FA),2,2,100.0,40,0,1,0,1,0,7,7,2,0.0,0.0,0.0%
63,64,Steven Weatherford (NYJ),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
64,65,Zac Derr (ATL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
65,66,Ricky Schmit (SF),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
66,67,Jay Feely (FA),30,36,83.3,52,0,9,7,11,3,37,37,16,0.0,0.0,0.0%
67,68,Andrew Wellock (CAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
68,69,Billy Cundiff (FA),21,26,80.8,51,0,7,5,7,2,32,32,16,0.0,0.0,0.0%
69,70,Carlos Martinez (DAL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
70,71,Dan Carpenter (FA),33,36,91.7,55,0,13,6,10,4,32,32,16,0.0,0.0,0.2%
71,72,David Akers (FA),19,24,79.2,53,1,5,6,4,3,42,42,16,0.0,0.0,0.0%
72,73,Garrett Hartley (FA),22,30,73.3,55,2,5,5,9,1,41,41,14,0.0,0.0,0.0%
73,74,Garrett Rivas (TB),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
74,75,Jason Reda (CLE),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
75,76,Matt Bryant (FA),24,27,88.9,53,0,9,7,5,3,39,39,16,0.0,0.0,1.1%
76,77,Josh Brown (FA),23,26,88.5,52,0,8,7,7,1,31,31,16,0.0,0.0,0.0%
77,78,Josh Scobee (FA),23,25,92.0,55,0,3,12,4,4,22,22,16,0.0,0.0,0.0%
78,79,MacKenzie Hoambrecker (SF),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
79,80,Mark Hickok (NYG),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
80,81,Caleb Sturgis (FA),26,34,76.5,54,1,4,10,8,3,33,33,16,0.0,0.0,0.0%
81,82,Dustin Hopkins (LAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.8%
82,83,Brett Maher (NO),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
83,84,Blair Walsh (FA),26,30,86.7,54,0,7,12,5,2,43,44,16,0.0,0.0,0.1%
84,85,Andrew Jacas (SF),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
85,86,Brandon McManus (DEN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,31.2%
86,87,Cairo Santos (CHI),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.2%
87,88,John Potter (FA),3,4,75.0,43,0,2,0,1,0,7,7,3,0.0,0.0,0.0%
88,89,Nick Novak (FA),34,37,91.9,50,1,9,13,9,2,42,42,16,0.0,0.0,0.1%
89,90,Giorgio Tavecchio (TEN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0%
90,91,Garrett Lindholm (ATL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
91,92,Connor Hughes (DAL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
92,93,Clint Stitser (WAS),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
93,94,Alex Henery (FA),23,28,82.1,51,0,8,7,7,1,45,45,16,0.0,0.0,0.0%
94,95,Saverio Rocca (WAS),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
