,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
59,60,Quinn Nordin (NE),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
60,61,Chris Naggar (CLE),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
61,62,Chase McLaughlin (CLE),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,23.9%
62,63,Matt Ammendola (NYJ),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%
63,64,Ty Long (LAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7%
64,65,Rodrigo Blankenship (IND),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.6%
65,66,Jake Verity (BAL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
66,67,Tyler Bass (BUF),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,93.6%
67,68,JJ Molson (GB),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
68,69,Sam Sloman (PIT),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
69,70,Lirim Hajrullahu (DAL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8%
70,71,Austin MacGinnis (LAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
71,72,Brandon Wright (LAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
72,73,Michael Palardy (MIA),0,0,0.0,0,0,0,0,0,0,0,0,7,0.0,0.0,33.3%
73,74,Steven Weatherford (NYJ),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
74,75,Zac Derr (ATL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
75,76,Ricky Schmit (SF),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
76,77,Jason Reda (CLE),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
77,78,MacKenzie Hoambrecker (SF),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
78,79,Mark Hickok (NYG),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
79,80,Parker Douglass (NYJ),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
80,81,Piotr Czech (PIT),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
81,82,Brett Maher (NO),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
82,83,Andrew Jacas (SF),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
83,84,Carlos Martinez (DAL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
84,85,Sergio Castillo (NYJ),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
85,86,Jordan Gay (FA),0,0,0.0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
86,87,Garrett Lindholm (ATL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
87,88,Connor Hughes (DAL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
88,89,Clint Stitser (WAS),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
89,90,Garrett Rivas (TB),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
90,91,Saverio Rocca (WAS),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
91,92,Giorgio Tavecchio (TEN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0%
